knowledge_id,domain,waste_code,problem,recommended_action,evidence,source_organization,source_document,publication_year,page,source_url,source_type
HVAC_UNNEEDED_RUNNING_001,냉난방·공조,HVAC_UNUSED_RUNNING;OPERATING_HOURS_WASTE,PC방 적용 상황: 마감 직전에도 냉방을 계속 가동한다.,잔여 냉기로 운영 가능하면 마감 전 냉방 종료를 검토한다. [PC방 적용 조건·편집] 마감이 있는 점포에 한정하며 24시간 영업·장비 냉각 필요 시 일괄 적용하지 않는다.,상점 안내는 영업종료 1시간 전 냉방 끄기를 제시한다.,산업통상자원부·한국에너지공단,"2025 여름철 에너지절약 실천요령 모션그래픽(상점) (40"")",2025,해당 없음(웹); 동영상 자막 3번,https://www.energy.or.kr/front/board/View21.do?boardMngNo=21&boardNo=10000672,웹페이지
HVAC_DRAFT_001,냉난방·공조,HVAC_AIR_LEAKAGE,PC방 적용 상황: 닫힌 창·문 틈으로 냉온기가 빠져나간다.,창과 문 틈의 불필요한 공기 누출을 막는다. [PC방 적용 조건·편집] 환기구나 설비 통풍구를 막는 행동은 제외한다.,가게 안내는 창틈·문틈을 막아 냉온기 유출을 줄이도록 안내한다.,서울특별시·에너지시민연대,가게 에너지 절약 가이드북,2012,인쇄 p.15 / PDF 16쪽,https://ncsd.go.kr/api/files/files_637c3072-55da-4000-a581-fadc2890ade5,PDF
HVAC_TEMPERATURE_CHECK_001,냉난방·공조,HVAC_TEMPERATURE_UNCHECKED,PC방 적용 상황: 실내온도 확인 없이 냉난방을 조작한다.,잘 보이는 곳에 실내온도계를 설치한다.,설정온도 조절과 함께 눈에 띄는 위치의 온도계를 권고한다.,환경부·한국환경보전원,탄소중립 생활 실천 안내서(기업의 탄생),2024,인쇄 p.20 / PDF 12쪽,https://mcee.go.kr/m/mob/policy_data/read.do?seq=8335&menuId=35,PDF
LIGHT_UNUSED_ON_001,조명,LIGHT_UNUSED_ON;OPERATING_HOURS_WASTE,PC방 적용 상황: 영업 종료 후 불필요한 조명이 켜져 있다.,영업시간 밖의 불필요한 조명을 소등한다. [PC방 적용 조건·편집] 보안·안전용 조명은 점검 후 별도 관리한다.,상점 실천요령은 영업시간 외 소등을 안내한다.,산업통상자원부·한국에너지공단,"2025 여름철 에너지절약 실천요령 모션그래픽(상점) (40"")",2025,해당 없음(웹); 동영상 자막 5번,https://www.energy.or.kr/front/board/View21.do?boardMngNo=21&boardNo=10000672,웹페이지
LIGHT_INEFFICIENT_001,조명,LIGHT_INEFFICIENT,PC방 적용 상황: 저효율 조명을 계속 사용한다.,교체 시 LED 등 고효율 조명을 검토한다.,상점 권장사항은 백열등 등 저효율 조명의 고효율 교체를 안내한다.,전력거래소,전력수급 절전 참여요령 - 상점,미표기,해당 없음(웹); 여름철 평상시 > 권장사항 > 조명,https://kpx.or.kr/menu.es?mid=a30602030000,웹페이지
LIGHT_AREA_CONTROL_001,조명,LIGHT_AREA_CONTROL,PC방 적용 상황: 공간을 쓰지 않아도 조명을 전체 점등한다.,전등군별로 따로 켜고 끌 수 있도록 구분한다. [PC방 적용 조건·편집] 실제 배선 변경은 설비 담당자가 검토한다.,여러 전등군으로 나누고 각각 점멸 가능한 부분 조명을 권고한다.,전력거래소,전력수급 절전 참여요령 - 사무실,미표기,해당 없음(웹); 여름철 평상시 > 권장사항 > 조명,https://kpx.or.kr/menu.es?mid=a30602020000,웹페이지
LIGHT_SENSOR_001,조명,LIGHT_AREA_CONTROL;LIGHT_UNUSED_ON,PC방 적용 상황: 화장실·복도 조명이 빈 공간에서도 계속 켜진다.,해당 공간에 센서 점·소등을 검토한다. [PC방 적용 조건·편집] 필수 안전조명의 기능을 유지하는 범위로 적용한다.,상점 실천요령은 화장실·복도 조명의 센서 제어를 제시한다.,산업통상자원부·한국에너지공단,"2025 여름철 에너지절약 실천요령 모션그래픽(상점) (40"")",2025,해당 없음(웹); 동영상 자막 8번,https://www.energy.or.kr/front/board/View21.do?boardMngNo=21&boardNo=10000672,웹페이지
LIGHT_DAYLIGHT_001,조명,LIGHT_DAYLIGHT_UNUSED,PC방 적용 상황: 낮에 창가가 충분히 밝아도 조명을 켠다.,자연채광으로 충분한 창측 조명을 소등한다. [PC방 적용 조건·편집] 게임 화면 반사·공간 이용 조건을 확인한다.,사무실 권장사항은 주간 창측 소등과 자연채광 이용을 안내한다.,전력거래소,전력수급 절전 참여요령 - 사무실,미표기,해당 없음(웹); 여름철 평상시 > 권장사항 > 조명,https://kpx.or.kr/menu.es?mid=a30602020000,웹페이지
SERVER_EFFICIENCY_001,서버·네트워크,SERVER_EFFICIENCY_SELECTION,PC방 적용 상황: 서버 구매 검토에 대기전력 기준을 확인하지 않는다.,해당 서버의 대기전력저감기준 만족 여부를 확인한다. [PC방 적용 조건·편집] 등록 범위에 해당하는 제품만 확인한다. 유휴 서버 종료나 성능 설정의 근거는 아니다.,공단의 대기전력저감 프로그램 대상품목에 서버가 포함된다.,한국에너지공단,대기전력저감 프로그램,미표기,해당 없음(웹); 제도의 내용 > 사업 대상,https://www.energy.or.kr/front/conts/105002004005000.do,웹페이지
NETWORK_EFFICIENCY_001,서버·네트워크,NETWORK_EFFICIENCY_SELECTION,PC방 적용 상황: 공유기 선정 시 대기모드 소비전력을 비교하지 않는다.,공단 제품검색에서 대기모드 전력과 기준 만족 여부를 확인한다. [PC방 적용 조건·편집] 구매 후보의 기능·용도를 맞춰 비교하며 게임 중 공유기 차단 근거로 쓰지 않는다.,유무선공유기 목록은 정격전력·대기모드 전력·기준 만족 여부를 제공한다.,한국에너지공단,효율관리제도 제품검색 - 유무선공유기,미표기,해당 없음(웹); 유무선공유기 > 업체리스트,https://eep.energy.or.kr/electricity/elec_list_235.aspx,웹페이지
UPS_EFFICIENCY_001,서버·네트워크,UPS_EFFICIENCY_SELECTION,PC방 적용 상황: UPS 교체 검토에 인증·부하별 효율을 확인하지 않는다.,용도에 맞는 UPS의 인증과 부하별 효율 정보를 확인한다. [PC방 적용 조건·편집] 대형 등록제품의 수치를 소형 UPS에 대입하지 않는다. 기존 UPS가 저효율이라는 판정 근거는 아니다.,공단 UPS 목록은 용량·부하별 효율·인증일·만료일을 제공한다.,한국에너지공단,고효율 인증 제도 제품검색 - 무정전전원장치,미표기,해당 없음(웹); 무정전전원장치 > 업체리스트,https://eep.energy.or.kr/higheff/hieff_list.aspx?artc_term=%EB%AC%B4%EC%A0%95%EC%A0%84%EC%A0%84%EC%9B%90%EC%9E%A5%EC%B9%98&key=314,웹페이지
FRIDGE_TEMP_SETTING_001,냉장·판매·주방설비,FRIDGE_TEMP_SETTING,PC방 적용 상황: 가정용 형태의 냉장고를 필요 이상으로 차갑게 설정한다.,보관조건을 확인하고 냉장·냉동 설정온도를 점검한다. [PC방 적용 조건·편집] 가정용 동일 설비의 참고값이다. 판매식품의 보관기준·제품 지시가 우선이며 쇼케이스 공통 기준이 아니다.,"가정용 안내는 냉장 3~4도, 냉동 -18~-20도를 제시한다.",환경부·한국환경보전원,탄소중립 생활 실천 안내서(가정의 탄생),2024,인쇄 p.25 / PDF 14쪽,https://mcee.go.kr/m/mob/policy_data/read.do?seq=8334&menuId=35,PDF
FRIDGE_DOOR_001,냉장·판매·주방설비,FRIDGE_DOOR_MANAGEMENT,PC방 적용 상황: 냉장고 문을 자주 열거나 제대로 닫지 않는다.,불필요한 개폐를 줄이고 문 닫힘을 확인한다.,냉장고 실천방법은 개폐 횟수 감소와 닫힘 확인을 제시한다.,환경부·한국환경보전원,탄소중립 생활 실천 안내서(가정의 탄생),2024,인쇄 p.25 / PDF 14쪽,https://mcee.go.kr/m/mob/policy_data/read.do?seq=8334&menuId=35,PDF
FRIDGE_INVENTORY_001,냉장·판매·주방설비,FRIDGE_DOOR_MANAGEMENT,PC방 적용 상황: 재료를 찾느라 냉장고 문을 오래 연다.,소분한 재료의 목록을 냉장고 외부에 붙인다.,식재료 소분 보관과 외부 목록 부착을 안내한다.,환경부·한국환경보전원,탄소중립 생활 실천 안내서(가정의 탄생),2024,인쇄 p.25 / PDF 14쪽,https://mcee.go.kr/m/mob/policy_data/read.do?seq=8334&menuId=35,PDF
FRIDGE_REAR_SPACE_001,냉장·판매·주방설비,FRIDGE_HEAT_RELEASE,PC방 적용 상황: 냉장고 뒤쪽이 벽에 밀착되어 있다.,냉장고를 벽과 간격을 두고 배치한다. [PC방 적용 조건·편집] 실제 이격거리는 제품 설치 지시를 확인한다.,후면 주위 온도가 효율에 영향을 주므로 벽과 이격하도록 안내한다.,환경부·한국환경보전원,탄소중립 생활 실천 안내서(가정의 탄생),2024,인쇄 p.25 / PDF 14쪽,https://mcee.go.kr/m/mob/policy_data/read.do?seq=8334&menuId=35,PDF
FRIDGE_REAR_CLEAN_001,냉장·판매·주방설비,FRIDGE_MAINTENANCE,PC방 적용 상황: 냉장고 방열판 청소를 하지 않는다.,접근 가능한 후면 방열판을 주기적으로 관리한다. [PC방 적용 조건·편집] 청소 가능한 제품에 한정한다.,냉장고 뒷면 방열판의 주기적 청소를 권고한다.,전력거래소,전력수급 절전 참여요령 - 사무실,미표기,해당 없음(웹); 겨울철 평상시 > 권장사항 > 가전제품,https://kpx.or.kr/menu.es?mid=a30602020000,웹페이지
FRIDGE_OPEN_DISPLAY_001,냉장·판매·주방설비,FRIDGE_DOOR_MANAGEMENT;FRIDGE_OPEN_DISPLAY,PC방 적용 상황: 문 없는 음료 냉장 진열장에서 냉기가 샌다.,적합한 문 설치 또는 문 있는 냉장고로의 교체를 검토한다. [PC방 적용 조건·편집] 음료 쇼케이스가 실제 개방형인 경우에 적용한다. 지원금 수령 가능 여부는 별도 확인 대상이다.,한전은 개방형 냉장고 문 설치와 Door형 교체를 효율화 방법으로 설명한다.,한국전력공사,우리가 전하는 에너지는 빛 그 이상입니다! - 한전의 에너지 효율화사업 이야기,2026,해당 없음(웹); 소상공인 고효율 기기 지원사업,https://www.kepco.co.kr/KEPCO_FILE/html/2026_03/03/issue02.html,웹페이지
FRIDGE_EFFICIENCY_001,냉장·판매·주방설비,FRIDGE_EFFICIENCY_SELECTION,PC방 적용 상황: 냉장고 구매 시 효율 정보를 확인하지 않는다.,제품의 적용 제도와 효율등급 정보를 확인한다. [PC방 적용 조건·편집] 가정용과 상업용의 시험 조건을 동일시하지 않는다.,공단 대상품목에는 전기냉장고와 상업용전기냉장고가 각각 포함된다.,한국에너지공단,에너지소비 효율등급 표시제도,미표기,해당 없음(웹); 제도의 내용 > 사업 대상,https://www.energy.or.kr/front/conts/105002004003000.do,웹페이지
KITCHEN_MICROWAVE_001,냉장·판매·주방설비,KITCHEN_IDLE_POWER;STANDBY_POWER,PC방 적용 상황: 사용하지 않는 전자레인지가 계속 전원에 연결되어 있다.,사용이 끝난 전자레인지의 불필요한 대기전력을 차단한다. [PC방 적용 조건·편집] 기기 사용·기능 유지 필요 여부를 확인한 뒤 적용한다.,기업 안내는 전자레인지를 대기전력 검토 제품군에 포함하고 사용특성별 차단을 권고한다.,환경부·한국환경보전원,탄소중립 생활 실천 안내서(기업의 탄생),2024,인쇄 p.16 / PDF 10쪽,https://mcee.go.kr/m/mob/policy_data/read.do?seq=8335&menuId=35,PDF
KITCHEN_WATER_001,냉장·판매·주방설비,KITCHEN_IDLE_POWER;OPERATING_HOURS_WASTE,PC방 적용 상황: 닫힌 매장에서 냉온수기가 계속 가동된다.,비사용 시간에 맞춰 냉온수기의 가동시간을 관리한다. [PC방 적용 조건·편집] 기기 매뉴얼과 위생관리 조건을 충족하는 경우에 한정한다.,가게 안내는 비사용 시간 전원 차단과 타이머 콘센트를 제시한다.,서울특별시·에너지시민연대,가게 에너지 절약 가이드북,2012,인쇄 p.17 / PDF 18쪽,https://ncsd.go.kr/api/files/files_637c3072-55da-4000-a581-fadc2890ade5,PDF
STANDBY_POWER_001,대기전력,STANDBY_POWER,PC방 적용 상황: 비사용 기기의 대기전력을 방치한다.,비사용 제품의 플러그를 뽑아 대기전력을 차단한다. [PC방 적용 조건·편집] 냉장고·서버·보안·통신 등 필요한 상시 부하는 제외한다.,상점 평상시 안내는 사용하지 않는 전기제품의 플러그 제거를 권고한다.,전력거래소,전력수급 절전 참여요령 - 상점,미표기,해당 없음(웹); 여름철 평상시 > 필수사항 > 전기제품,https://kpx.or.kr/menu.es?mid=a30602030000,웹페이지
STANDBY_SWITCH_ACCESS_001,대기전력,STANDBY_POWER;OPERATING_HOURS_WASTE,PC방 적용 상황: 멀티탭이 가려져 마감 때 끄기 어렵다.,멀티탭을 눈에 띄고 손이 닿는 위치에 둔다. [PC방 적용 조건·편집] 멀티탭의 정격과 연결 대상 적합성을 별도로 확인한다.,가게 안내는 쉽게 조작할 수 있는 멀티탭 배치를 제시한다.,서울특별시·에너지시민연대,가게 에너지 절약 가이드북,2012,인쇄 p.16 / PDF 17쪽,https://ncsd.go.kr/api/files/files_637c3072-55da-4000-a581-fadc2890ade5,PDF
STANDBY_EFFICIENCY_001,대기전력,STANDBY_EFFICIENCY_SELECTION,PC방 적용 상황: 주변기기 구매 시 대기전력 기준을 확인하지 않는다.,해당 품목의 대기전력저감 표시를 확인한다. [PC방 적용 조건·편집] 모든 전기제품에 같은 표시가 적용되는 것은 아니다.,기준 만족제품의 에너지절약마크와 미달제품의 경고표지를 구분한다.,한국에너지공단,대기전력저감 프로그램,미표기,해당 없음(웹); 제도의 내용 > 제도의 정의,https://www.energy.or.kr/front/conts/105002004005000.do,웹페이지
OPS_STAFF_TRAINING_001,영업장 운영관리,OPERATING_HOURS_WASTE;ENERGY_MANAGEMENT_ABSENT,PC방 적용 상황: 교대 직원마다 절전 운영 방식이 다르다.,절전 담당자를 정하고 직원에게 운영 지침을 교육한다.,상점 안내는 절전담당자 지정과 직원 교육을 권고한다.,전력거래소,전력수급 절전 참여요령 - 상점,미표기,해당 없음(웹); 여름철 평상시 > 필수사항 > 홍보,https://kpx.or.kr/menu.es?mid=a30602030000,웹페이지
OPS_USE_TRACKING_001,영업장 운영관리,ENERGY_USAGE_UNTRACKED,PC방 적용 상황: 영업일·시간과 월별 전력사용량을 기록하지 않는다.,영업시간·영업일·월별 사용량과 전년 동월 사용량을 기록한다. [PC방 적용 조건·편집] 사용량 변화만으로 특정 설비의 낭비나 절감 성과를 단정하지 않는다.,가게 진단 기초자료에 영업 조건과 월별 전력량 기록을 포함한다.,서울특별시·에너지시민연대,가게 에너지 절약 가이드북,2012,인쇄 pp.38-39 / PDF 39-40쪽,https://ncsd.go.kr/api/files/files_637c3072-55da-4000-a581-fadc2890ade5,PDF
OPS_PEAK_MANAGEMENT_001,영업장 운영관리,PEAK_DEMAND_MANAGEMENT,PC방 적용 상황: 수급 피크에 비필수 냉방이 동시에 가동된다.,수급 피크 대응 시 비필수 냉방기의 순차 운휴를 검토한다. [PC방 적용 조건·편집] 최신 수급 안내와 점포 조건을 확인한다. 요금 최대부하 시간대나 총사용량 감소와 동일하지 않다.,상점 안내는 여름철 전력피크에 냉방기 순차 운휴를 권고한다.,전력거래소,전력수급 절전 참여요령 - 상점,미표기,해당 없음(웹); 여름철 평상시 > 필수사항 > 냉방,https://kpx.or.kr/menu.es?mid=a30602030000,웹페이지
PC_IDLE_WINDOW_LEAK_001,PC·모니터,PC_IDLE_WINDOW_LEAK,"[PC방 적용 상황] 자동 절전이 설정되어 있어도 손님 퇴실부터 실제 절전 진입까지 빈 좌석 PC의 유휴 가동이 반복되며, 그 구간을 확인하지 않는다.","[PC방 적용 해석] 빈 좌석 PC가 실제로 절전에 들어가는지와 미사용 구간을 확인하고, 이용·관리 작업이 없는 시간에 절전기능이 작동하도록 전원관리 설정을 점검한다. 전환시간의 진단 구간은 서비스 자체 기준이며 공식 권고값으로 표시하지 않는다.","[공식 근거] 안내서는 일정 시간 PC를 사용하지 않을 때 본체와 모니터의 소비전력을 낮추는 절전기능 및 자리 비움 시 사용을 안내한다. [적용 한계] PC방의 반복 유휴구간 측정은 적용 해석이며, 이 페이지에는 공식 전환시간이나 누수 판정 임계값이 없다.",환경부·한국환경보전원,탄소중립 생활 실천 안내서(기업의 탄생),2024,인쇄 p.17 / PDF 10쪽,https://mcee.go.kr/m/mob/policy_data/read.do?seq=8335&menuId=35,PDF
PC_UPDATE_IDLE_001,PC·모니터,PC_UPDATE_IDLE,[PC방 적용 상황] 게임 업데이트·점검을 위해 켠 빈 PC가 작업 대기 또는 완료 후에도 불필요하게 오래 가동된다.,"[PC방 적용 해석] 업데이트·점검의 완료와 추가 작업 필요 여부를 확인하고, 장시간 사용하지 않을 PC는 정상 종료한다. 진행 중인 작업은 중단하지 않는다. 예약 업데이트·Wake-on-LAN은 별도 구현 예시이며 이 공식자료의 권고가 아니다.","[공식 근거] 사무실 평상시 절전 참여요령은 컴퓨터 등 사무기기를 장시간 미사용할 때 전원을 차단하도록 안내한다. [적용 한계] 게임 업데이트 전후라는 상황은 PC방 적용 해석이며, 자료는 작업 소요시간·종료 시각을 정하지 않는다.",전력거래소,전력수급 절전 참여요령 - 사무실,미표기,해당 없음(웹); 여름철 평상시 > 필수사항 > 전기제품,https://kpx.or.kr/menu.es?mid=a30602020000,웹페이지
PC_OFF_STANDBY_LEAK_001,대기전력,PC_OFF_STANDBY_LEAK;PERIPHERAL_IDLE_POWER,[PC방 적용 상황] PC 종료만 확인하고 좌석의 USB 허브·키보드·마우스·헤드셋 거치대·주변 조명 등의 잔류 전원과 대기전력 여부는 확인하지 않는다. 기기별 잔류전력 존재는 아직 확인되지 않은 점검 가설이다.,"[PC방 적용 해석] 종료된 PC와 연결 주변장치에서 남아 있는 전력 사용 및 기능 유지 필요를 확인한 뒤, 불필요한 전원 공급 경로에 적합한 대기전력 차단장치를 적용·관리한다. 모든 USB 장치가 전력을 소비한다고 단정하거나 확인 없이 일괄 차단하지 않는다.","[공식 근거] 안내서는 전원을 끈 상태에서도 소비되는 대기전력을 설명하고, 대기전력이 높거나 일시 사용하는 기기를 확인하여 기기 특성과 사용 정도에 맞게 차단장치를 설치·관리하도록 안내한다. [적용 한계] USB 기기별 전원 잔류·RGB 소비전력·BIOS 설정은 원문에서 확인되지 않는다.",환경부·한국환경보전원,탄소중립 생활 실천 안내서(기업의 탄생),2024,인쇄 p.16 / PDF 10쪽,https://mcee.go.kr/m/mob/policy_data/read.do?seq=8335&menuId=35,PDF
HVAC_OUTDOOR_HEAT_RECIRCULATION_001,냉난방·공조,HVAC_OUTDOOR_HEAT_RECIRCULATION,[PC방 적용 상황] 좁은 실외기 공간이나 주변 적치물·장애물 때문에 배출열이 정체될 가능성이 있으나 통풍 상태를 점검하지 않는다.,[PC방 적용 해석] 실외기 주변을 정리하고 뜨거운 공기가 원활히 배출되는지 확인한다. 실외기실 환기창을 충분히 열어 통풍을 확보한다. 다수 실외기 배치 변경 등 설비 작업은 전문가에게 검토를 요청한다.,"[공식 근거] 행정안전부는 실외기 주변 청소와 통풍 관리, 실내에 설치된 실외기의 환기창 개방, 실외기 주변 뜨거운 공기의 원활한 배출을 안내한다. [적용 한계] 화재예방 자료의 통풍 원칙을 적용한 것으로, 열 재순환 발생·냉방효율 저하율·절감량을 입증하는 자료는 아니다.",행정안전부,"폭염 속 에어컨 사용, 화재 조심하세요!",2026,해당 없음(웹); 실외기 주변 청소·통풍 관리 및 뜨거운 공기 배출 문단,https://www.mois.go.kr/frt/bbs/type010/commonSelectBoardArticle.do?bbsId=BBSMSTR_000000000008&nttId=128696,웹페이지
HIDDEN_BASELOAD_RISK_001,영업장 운영관리,HIDDEN_BASELOAD_RISK,"[PC방 적용 상황] 손님이 적은 새벽·심야에도 PC·냉난방·조명·냉장설비·서버·네트워크의 전력 사용이 남아 있으나, 필요한 상시 부하와 불필요한 가동을 구분하지 않는다.","[PC방 적용 해석] 저이용 시간의 전체 전력과 확인 가능한 설비별 사용 기록을 이용 현황과 함께 비교하고, 계속 가동 중인 설비의 필요성을 점검한다. 기저부하 전체를 낭비로 분류하지 말고 냉장·서비스 유지 등 필요한 부하를 구분한 뒤 조정 대상을 정한다.",[공식 근거] 한국에너지공단은 BEMS를 에너지 사용내역 모니터링과 계측·제어·관리·운영을 통합해 최적화된 관리방안을 제공하는 시스템으로 설명하며 실시간 모니터링·분석·최적화제어를 제시한다. [적용 한계] 저이용 PC방의 잔여 사용량을 분석하는 것은 적용 해석이다. 공식 PC방 기저부하 기준값이나 설비별 낭비 판정값은 없다.,한국에너지공단,공공에너지관리시스템(BEMS) 보급확산,미표기,해당 없음(웹); 제도의 내용 > BEMS 정의·개념도·설치확인,https://www.energy.or.kr/front/conts/105002002005000.do,웹페이지
ENERGY_MONITORING_ABSENT_001,영업장 운영관리,ENERGY_MONITORING_ABSENT,[PC방 적용 상황] 월별 총전력량만 확인하여 저이용 시간의 설비 가동 패턴과 반복되는 불필요 전력 사용을 파악하기 어렵다.,"[PC방 적용 해석] 사용 전력량을 확인할 수 있는 계측·모니터링 수단을 마련하고, 시간대별 기록을 이용 현황과 대조하여 설비 제어 개선에 활용한다. 계측 주기·설비별 계측 범위는 현장에 맞게 정하며 공식 권고 수치로 제시하지 않는다.",[공식 근거] 한국에너지공단의 소상공인 지원설비 설명은 IoT 스마트에너지 통합제어시스템을 조명·냉난방설비 등의 사용 전력량 모니터링과 통합제어로 에너지를 효율적으로 사용하는 시스템으로 소개한다. [적용 한계] 시간대별 PC방 이용 현황과의 비교는 적용 해석이며 이 자료에 특정 계측 간격은 없다.,한국에너지공단,KEA 에너지 이슈 브리핑 제245호 — 「2024년 소상공인 에너지효율향상 지원사업」 2차 공고,2024,인쇄 p.1 / PDF 1쪽; 지원설비 품목 표 > IoT 스마트에너지 통합제어시스템,https://www.energy.or.kr/energy_issue/mail_vol245/pdf/issue_348_01_all.pdf,PDF
