"reference_id","category","equipment","parameter","state","value_min","value_max","unit","reference_type","source_organization","source_document","publication_year","page","source_url","applicability","calculation_note","confidence"
"MONITOR_ALLOW_MEMORY","monitor","computer_monitor","power_allowance","sleep","0.2","0.2","W","regulatory_allowance","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","PDF 237 / 별표1 44.6.1.2","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""limit_adjustment"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""feature"":""MEMORY""}","출하시 슬립 중 기능 활성 조건. 각 추가기능별 가장 큰 허용치 적용. 연결 포트마다 무조건 합산 금지.","VERIFIED_SOURCE"
"MONITOR_ON_REGULATION","monitor","computer_monitor","power_limit_function","on","","","W","regulatory_limit","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","PDF 236 / 별표1 44.6.1.1","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""conditional_function"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null}","온모드 상한은 화면면적·대각선·해상도·화소밀도와 추가기능 함수. 대표 소비전력 아님.","NO_NUMERIC_VALUE"
"PC_ACTIVE_METHOD","pc","desktop_computer","measurement_method","idle_sleep_off","","","","measurement_method","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","PDF 278-280 / 별표1 49.4-6","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""method"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""standard"":""KS C IEC 62301 (off); 별표1 49 (idle/sleep/TEC)""}","아이들·슬립·오프 측정 및 TEC 기준 존재. 게임 활성 소비전력의 공통 W 기준은 확보하지 못함. TEC를 게임소비전력으로 환산 금지.","NO_NUMERIC_VALUE"
"PC_ACTIVE_NO_REP","pc","desktop_computer","power_consumption","active","","","W","unavailable","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","별표1 49","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":null,""value_semantics"":""not_available"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""reason"":""NO_OFFICIAL_REPRESENTATIVE_VALUE"",""allowed_sources"":[""MEASURED"",""OFFICIAL_MODEL_TEST"",""MANUFACTURER_MODEL_SPEC""]}","공식 대표값 없음 - 실측 권고. 파워서플라이 정격 용량 사용 금지.","NO_NUMERIC_VALUE"
"PC_IDLE_NO_REP","pc","desktop_computer","power_consumption","idle","","","W","unavailable","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","별표1 49","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":null,""value_semantics"":""not_available"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""reason"":""NO_OFFICIAL_REPRESENTATIVE_VALUE"",""allowed_sources"":[""MEASURED"",""OFFICIAL_MODEL_TEST"",""MANUFACTURER_MODEL_SPEC""]}","공식 대표값 없음 - 실측 권고. 파워서플라이 정격 용량 사용 금지.","NO_NUMERIC_VALUE"
"PC_SLEEP_NO_REP","pc","desktop_computer","power_consumption","sleep","","","W","unavailable","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","별표1 49","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":null,""value_semantics"":""not_available"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""reason"":""NO_OFFICIAL_REPRESENTATIVE_VALUE"",""allowed_sources"":[""MEASURED"",""OFFICIAL_MODEL_TEST"",""MANUFACTURER_MODEL_SPEC""]}","공식 대표값 없음 - 실측 권고. 파워서플라이 정격 용량 사용 금지.","NO_NUMERIC_VALUE"
"PC_OFF_NO_REP","pc","desktop_computer","power_consumption","off","","","W","unavailable","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","별표1 49","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":null,""value_semantics"":""not_available"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""reason"":""NO_OFFICIAL_REPRESENTATIVE_VALUE"",""allowed_sources"":[""MEASURED"",""OFFICIAL_MODEL_TEST"",""MANUFACTURER_MODEL_SPEC""]}","공식 대표값 없음 - 실측 권고. 파워서플라이 정격 용량 사용 금지.","NO_NUMERIC_VALUE"
"MONITOR_ON_NO_REP","monitor","computer_monitor","power_consumption","on","","","W","unavailable","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","별표1 44","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":null,""value_semantics"":""not_available"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""reason"":""MODEL_REQUIRED""}","공식 대표값 없음 - 실측 권고. 모델별 시험·사양과 밝기·주사율·입력조건 확인.","NO_NUMERIC_VALUE"
"MONITOR_SLEEP_NO_REP","monitor","computer_monitor","power_consumption","sleep","","","W","unavailable","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","별표1 44","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":null,""value_semantics"":""not_available"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""reason"":""MODEL_REQUIRED""}","공식 대표값 없음 - 실측 권고. 모델별 시험·사양과 밝기·주사율·입력조건 확인.","NO_NUMERIC_VALUE"
"MONITOR_OFF_NO_REP","monitor","computer_monitor","power_consumption","off","","","W","unavailable","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","별표1 44","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":null,""value_semantics"":""not_available"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""reason"":""MODEL_REQUIRED""}","공식 대표값 없음 - 실측 권고. 모델별 시험·사양과 밝기·주사율·입력조건 확인.","NO_NUMERIC_VALUE"
"LG_27GS75Q_ON","monitor","computer_monitor","power_consumption","on","36","36","W","MANUFACTURER","LG전자","27GS75Q 제품 상세 스펙 / 전기적 특성","","웹 / 전기적 특성","https://www.lge.co.kr/product/monitors/27gs75q?modelId=MD10367827&pdpType=PURCHASE","{""schema_version"":""1.0"",""evidence_class"":""MANUFACTURER"",""value_semantics"":""declared_point"",""calculation_eligible"":true,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""model"":""27GS75Q"",""calculation_grade"":""B"",""bounds_only"":false,""publication_date_status"":""not_stated"",""release_month"":""2024-08""}","해당 모델만 사용. ON은 공개 사양값; Sleep/Off의 이하 표기는 실제값과 다름. 타 모델 일반화 금지.","VERIFIED_SOURCE"
"LG_27GS75Q_SLEEP","monitor","computer_monitor","power_consumption","sleep","","0.5","W","MANUFACTURER","LG전자","27GS75Q 제품 상세 스펙 / 전기적 특성","","웹 / 전기적 특성","https://www.lge.co.kr/product/monitors/27gs75q?modelId=MD10367827&pdpType=PURCHASE","{""schema_version"":""1.0"",""evidence_class"":""MANUFACTURER"",""value_semantics"":""upper_bound"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""model"":""27GS75Q"",""calculation_grade"":""B"",""bounds_only"":true,""publication_date_status"":""not_stated"",""release_month"":""2024-08""}","해당 모델만 사용. ON은 공개 사양값; Sleep/Off의 이하 표기는 실제값과 다름. 타 모델 일반화 금지.","VERIFIED_SOURCE"
"LG_27GS75Q_OFF","monitor","computer_monitor","power_consumption","off","","0.3","W","MANUFACTURER","LG전자","27GS75Q 제품 상세 스펙 / 전기적 특성","","웹 / 전기적 특성","https://www.lge.co.kr/product/monitors/27gs75q?modelId=MD10367827&pdpType=PURCHASE","{""schema_version"":""1.0"",""evidence_class"":""MANUFACTURER"",""value_semantics"":""upper_bound"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""model"":""27GS75Q"",""calculation_grade"":""B"",""bounds_only"":true,""publication_date_status"":""not_stated"",""release_month"":""2024-08""}","해당 모델만 사용. ON은 공개 사양값; Sleep/Off의 이하 표기는 실제값과 다름. 타 모델 일반화 금지.","VERIFIED_SOURCE"
"ROUTER_100M_STANDBY_BASE","standby","router","power_consumption","network_idle","","2","W","regulatory_limit","기후에너지환경부 / 한국에너지공단","대기전력저감 프로그램 운용규정 제2026-25호 (2026-01-23)","2026","별표2 23","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=238","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""upper_bound"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""scope"":""NAT 지원 이더넷 9포트 이하; 랙형·모뎀포함·무선전용 등 제외""}","기본 WAN 1포트 100M 기준 상한. 트래픽 없는 활성 상태이며 오프/슬립이 아님.","VERIFIED_SOURCE"
"ROUTER_1G_STANDBY_BASE","standby","router","power_consumption","network_idle","","2.5","W","regulatory_limit","기후에너지환경부 / 한국에너지공단","대기전력저감 프로그램 운용규정 제2026-25호 (2026-01-23)","2026","별표2 23","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=238","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""upper_bound"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null}","기본 WAN 1포트 1G 기준 상한. Wi-Fi 6/7 등 명시되지 않은 기능에 임의 확대 금지.","VERIFIED_SOURCE"
"ROUTER_ALLOW_PORT","standby","router","power_allowance","network_idle","0.2","0.2","W/port","regulatory_allowance","기후에너지환경부 / 한국에너지공단","대기전력저감 프로그램 운용규정 제2026-25호 (2026-01-23)","2026","별표2 23","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=238","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""limit_adjustment"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null}","WAN 외 이더넷 포트 추가허용량. 100M 및 1G. 실제 W 추정 금지.","VERIFIED_SOURCE"
"ROUTER_ALLOW_SINGLE_BAND","standby","router","power_allowance","network_idle","0.8","0.8","W","regulatory_allowance","기후에너지환경부 / 한국에너지공단","대기전력저감 프로그램 운용규정 제2026-25호 (2026-01-23)","2026","별표2 23","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=238","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""limit_adjustment"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null}","802.11a/b/g/n 싱글밴드 무선인터페이스 추가허용량. 실제 W 추정 금지.","VERIFIED_SOURCE"
"ROUTER_ALLOW_DUAL_BAND","standby","router","power_allowance","network_idle","1.6","1.6","W","regulatory_allowance","기후에너지환경부 / 한국에너지공단","대기전력저감 프로그램 운용규정 제2026-25호 (2026-01-23)","2026","별표2 23","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=238","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""limit_adjustment"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null}","802.11a/b/g/n 듀얼밴드 추가허용량. 싱글밴드 값과 중복 합산 금지. 실제 W 추정 금지.","VERIFIED_SOURCE"
"ROUTER_SLEEP_NO_LIMIT","standby","router","power_consumption","sleep","","","W","unavailable","기후에너지환경부 / 한국에너지공단","대기전력저감 프로그램 운용규정 제2026-25호 (2026-01-23)","2026","별표2 23","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=238","{""schema_version"":""1.0"",""evidence_class"":null,""value_semantics"":""not_available"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""reason"":""NO_SEPARATE_MODE_LIMIT""}","해당 품목의 독립적인 sleep 고정 기준은 이 표에 없음. 제품 기능 및 실측 필요.","NO_NUMERIC_VALUE"
"ROUTER_OFF_NO_LIMIT","standby","router","power_consumption","off","","","W","unavailable","기후에너지환경부 / 한국에너지공단","대기전력저감 프로그램 운용규정 제2026-25호 (2026-01-23)","2026","별표2 23","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=238","{""schema_version"":""1.0"",""evidence_class"":null,""value_semantics"":""not_available"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""reason"":""NO_SEPARATE_MODE_LIMIT""}","해당 품목의 독립적인 off 고정 기준은 이 표에 없음. 제품 기능 및 실측 필요.","NO_NUMERIC_VALUE"
"MICROWAVE_STANDBY_LIMIT","standby","microwave","power_consumption","standby","","1","W","regulatory_limit","기후에너지환경부 / 한국에너지공단","대기전력저감 프로그램 운용규정 제2026-25호 (2026-01-23)","2026","별표2 13","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=238","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""upper_bound"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""rated_power_scope_w_max"":4000}","운전 후 문을 닫은 상태의 기준. 충족하지 못하면 전원오프 스위치 추가 후 오프 기준 충족 가능. 정격입력이나 가열출력 아님.","VERIFIED_SOURCE"
"MICROWAVE_WLAN_ALLOW","standby","microwave","power_allowance","standby","1","1","W","regulatory_allowance","기후에너지환경부 / 한국에너지공단","대기전력저감 프로그램 운용규정 제2026-25호 (2026-01-23)","2026","별표2 13","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=238","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""limit_adjustment"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null}","WLAN 802.11a/b/g/n 추가허용치. 실제 대기전력 대입 금지.","VERIFIED_SOURCE"
"STANDBY_CURRENT_SCOPE","standby","pc_monitor_and_other","program_scope","all","","","","measurement_method","기후에너지환경부 / 한국에너지공단","대기전력저감 프로그램 운용규정 제2026-25호 (2026-01-23)","2026","제3조 / 별표1-3","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=238","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""method"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null}","PC·모니터는 효율관리기자재 규정으로 이관. 공유기·전자레인지·오디오·서버·자동절전제어장치 등은 현행 품목별 조건 확인.","NO_NUMERIC_VALUE"
"AC_RATED_INPUT_REQUIRED","cooling","air_conditioner","rated_electric_input","cooling","","","W","unavailable","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","별표1 전기냉방기·전기냉난방기","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":null,""value_semantics"":""not_available"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""reason"":""MODEL_REQUIRED""}","공식 대표값 없음 - 실측 권고. 모델의 정격냉방소비전력 사용. 냉방능력(kW thermal)과 전기입력(kW electric)을 분리.","NO_NUMERIC_VALUE"
"AC_CSPF_METHOD","cooling","air_conditioner","seasonal_efficiency","cooling","","","W/W","measurement_method","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","별표1 냉방기·냉난방기 / PDF 45,135","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""method"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""standard"":""KS C 9306"",""future_revision"":""2026-11-01"",""future_revision_url"":""https://eep.energy.or.kr/pds/view.aspx?cate=1&no=198""}","CSPF는 표준 냉방기간 냉방열량/전력량의 비. 정격냉방능력/CSPF로 현장 순간 입력전력을 확정하지 않음.","NO_NUMERIC_VALUE"
"AC_SYSTEM_BOUNDARY","cooling","multi_split_system","electric_input_boundary","cooling","","","W","measurement_method","기후에너지환경부 / 한국에너지공단","효율관리기자재 운용규정 제2026-137호 (2026-05-27)","2026","별표1 멀티전기히트펌프시스템 / PDF 171 이후","https://eep.energy.or.kr/common/fnc/file_download.aspx?type=pds&code=262","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""method"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null}","실외기와 연결 실내기 조합·보조전원 포함범위를 확인. 실내기 대수×임의W 금지. 전체 회로 계측이면 설비 수는 중복 곱하지 않음.","NO_NUMERIC_VALUE"
"AC_EWIE067_CAPACITY","cooling","air_conditioner","cooling_capacity","rated","2350","2350","W_thermal","OFFICIAL","한국에너지공단","효율등급 제품상세 위닉스 EWIE067-MWK (완료 2023-05-12)","2023","웹 / 제품상세","https://eep.energy.or.kr/certification/certi_view_260.aspx?no=260230313","{""schema_version"":""1.0"",""evidence_class"":""OFFICIAL"",""value_semantics"":""declared_point"",""calculation_eligible"":false,""verified_as_of"":""2026-09-16"",""valid_from"":null,""valid_to_exclusive"":null,""model"":""EWIE067-MWK""}","냉방능력. 전기입력 W로 사용 금지.","VERIFIED_SOURCE"
