"formula_id","waste_code","formula_name","formula","required_inputs","optional_inputs","reference_parameters","output_unit","limitations"
"F_NET_ENERGY","NET_SAVING","전환·재가동 영향 반영","GROSS_SAVED_KWH - EXTRA_KWH","[""GROSS_SAVED_KWH"",""EXTRA_KWH""]","[]","[]","kWh","{""grade_rule"":{""A"":""추가전력 실측"",""C"":""추가전력 추정"",""D"":""중요한 반동효과 미확인""},""no_calculation_if"":[""missing_required_input"",""non_finite_value"",""wrong_unit_or_state"",""overlapping_asset_time"",""unverified_measurement_boundary""],""official_substitutions"":[],""measurement_required"":[""부팅·복귀·재냉각 등의 추가전력""],""execution"":""dispatch_by_formula_id; do_not_eval_csv"",""note"":""EXTRA_KWH는 동일기간의 추가분. 누락을 자동 0 처리하지 않음""}"
"F_ENERGY_CHARGE","COST_ENERGY","전력량요금 항목 절감","sum(x[""saved_kwh""] * x[""energy_rate""] for x in SAVING_TARIFF_SEGMENTS)","[""SAVING_TARIFF_SEGMENTS"",""CONTRACT_TYPE"",""VOLTAGE_CLASS"",""TARIFF_OPTION"",""TARIFF_VERSION"",""BILLING_PERIOD"",""REGION""]","[]","[""TARIFF_SEASONS"",""TARIFF_TOU_MAINLAND"",""TARIFF_TOU_JEJU""]","KRW","{""grade_rule"":{""A"":""A 전력량+검증 요금구간"",""B"":""B 전력량+검증 요금구간"",""C"":""범위 시나리오"",""D"":""요금키 또는 시간배분 미확정""},""no_calculation_if"":[""missing_rate"",""unknown_contract"",""unallocated_tou_kwh"",""invalid_rate_period"",""auto_min_comparison_not_modelled""],""official_substitutions"":[""해당 기간 한전 전력량요금표""],""measurement_required"":[""요금구간별 절감 kWh""],""execution"":""dispatch_by_formula_id; do_not_eval_csv"",""excludes"":[""basic_charge"",""climate_charge"",""fuel_adjustment"",""VAT"",""fund""],""note"":""갑II 자동 최저 비교기간에는 F_BILL_DELTA 경로 사용""}"
"F_VARIABLE_CHARGE","COST_VARIABLE","변동 전기요금 항목 절감","sum(x[""saved_kwh""] * (x[""energy_rate""] + x[""climate_rate""] + x[""fuel_rate""]) for x in SAVING_TARIFF_SEGMENTS)","[""SAVING_TARIFF_SEGMENTS"",""CONTRACT_TYPE"",""VOLTAGE_CLASS"",""TARIFF_OPTION"",""TARIFF_VERSION"",""BILLING_PERIOD"",""REGION""]","[]","[""FUEL_2026_Q3"",""CLIMATE_CURRENT_REQUIRED""]","KRW","{""grade_rule"":{""A"":""A 전력량+모든 단가 검증"",""B"":""B 전력량+모든 단가 검증"",""C"":""참고 시나리오"",""D"":""별도 요금단가 하나라도 미확정""},""no_calculation_if"":[""missing_any_rate"",""rate_already_inclusive"",""invalid_rate_period"",""auto_min_comparison_not_modelled""],""official_substitutions"":[""기간별 전력량·기후환경·연료비단가""],""measurement_required"":[""구간별 절감 kWh""],""execution"":""dispatch_by_formula_id; do_not_eval_csv"",""excludes"":[""basic_charge"",""VAT"",""fund""],""note"":""기후환경요금 현행값은 사용자 고지서/원문으로 보완 필요""}"
"F_BILL_DELTA","COST_BILL","전체 청구요금 전후 차액","BILL_BEFORE_KRW - BILL_AFTER_KRW","[""BILL_BEFORE_KRW"",""BILL_AFTER_KRW"",""BILLING_PERIOD"",""TARIFF_VERSION"",""BILL_RECALCULATION_AUDIT""]","[""MONTHLY_USAGE_KWH"",""MONTHLY_USAGE_PROFILE"",""BILLING_DEMAND_KW"",""DEMAND_HISTORY_KW"",""POWER_FACTOR"",""DISCOUNTS""]","[""TARIFF_A2_AUTO_MIN"",""VAT_RATE"",""POWER_FUND_RATE""]","KRW","{""grade_rule"":{""A"":""전력량 A 및 완전한 약관 구현·검증"",""B"":""전력량 B 및 완전한 약관 구현·검증"",""C"":""원 단위 확정 불가 참고 시나리오"",""D"":""기본요금·비교요금·반올림 등 청구규칙 미구현""},""no_calculation_if"":[""incomplete_bill_model"",""missing_full_month_usage"",""missing_auto_min_branch""],""official_substitutions"":[""약관·부가세·기금·단가""],""measurement_required"":[""전체 기준사용량과 개선사용량""],""execution"":""dispatch_by_formula_id; do_not_eval_csv"",""method_status"":""requires_external_validated_billing_engine"",""note"":""Python 청구함수 결과를 입력. 기본요금 절감은 피크·계약 변화가 입증될 때만. 본 DB 자체는 청구엔진 구현체가 아님""}"
"F_COST_RANGE","COST_REFERENCE","검증된 계약 시나리오별 비용 범위","(min(SCENARIO_COSTS_KRW), max(SCENARIO_COSTS_KRW))","[""SCENARIO_COSTS_KRW"",""SCENARIO_DEFINITIONS""]","[]","[]","KRW_interval","{""grade_rule"":{""C"":""실제 가능 계약·기간 시나리오만"",""D"":""어떤 단가도 검증되지 않음""},""no_calculation_if"":[""empty_scenarios"",""arbitrary_flat_rate"",""incomplete_scenario_bill""],""official_substitutions"":[""각 시나리오의 검증 요금표""],""measurement_required"":[],""execution"":""dispatch_by_formula_id; do_not_eval_csv"",""note"":""전국 최저·최고단가를 무조건 곱하지 않음. 비용 미확정이면 kWh만 제공""}"
"F_CARBON","CARBON_INDIRECT","구매전력 간접배출 감소 추정","SAVED_KWH * GRID_EF_KGCO2E_PER_KWH","[""SAVED_KWH"",""GRID_EF_KGCO2E_PER_KWH"",""CARBON_METHOD"",""GRID_EF_REFERENCE_ID""]","[]","[""GRID_EF_CONSUMPTION_2023""]","kgCO2e","{""grade_rule"":{""A"":""A 전력량과 적용 계수"",""B"":""B 전력량과 적용 계수"",""C"":""C 전력량 또는 미래연도 대리 계수의 참고 추정"",""D"":""계수 연도·방법 미확정""},""no_calculation_if"":[""wrong_factor_scope"",""unit_mismatch"",""compliance_method_unverified""],""official_substitutions"":[""일반적 전망은 최신 확인 소비단 0.4173; 규제보고는 제도 지정 계수""],""measurement_required"":[],""execution"":""dispatch_by_formula_id; do_not_eval_csv"",""note"":""실측 전력량의 품질등급과 탄소계수의 미래 대표성 불확실성을 별도로 표시. LCA·크레딧·한계배출계수 아님""}"
"F_DIAG_DOOR_HEATER","DOOR_HEATER","결로방지 도어히터 진단만","None","[""EQUIPMENT_TYPE""]","[""MEASUREMENT_BOUNDARY""]","[""DOOR_HEATER_SAVING_RATE_UNAVAILABLE""]","none","{""grade_rule"":{""D"":""고정 절감률 없음; 현 데이터로 정량화 안 함""},""no_calculation_if"":[""no_measured_before_after""],""official_substitutions"":[],""measurement_required"":[""F_METERED_BEFORE_AFTER 요건을 충족하면 별도 계산 가능""],""execution"":""dispatch_by_formula_id; do_not_eval_csv"",""display"":""절감 가능성 발견 → 실측 권고"",""never_default_to_zero"":true}"
"F_DIAG_DEFROST","DEFROST","제상히터 진단만","None","[""EQUIPMENT_TYPE""]","[""MEASUREMENT_BOUNDARY""]","[""DEFROST_SAVING_RATE_UNAVAILABLE""]","none","{""grade_rule"":{""D"":""고정 절감률 없음; 현 데이터로 정량화 안 함""},""no_calculation_if"":[""no_measured_before_after""],""official_substitutions"":[],""measurement_required"":[""F_METERED_BEFORE_AFTER 요건을 충족하면 별도 계산 가능""],""execution"":""dispatch_by_formula_id; do_not_eval_csv"",""display"":""절감 가능성 발견 → 실측 권고"",""never_default_to_zero"":true}"
"F_DIAG_RECIRCULATION","AC_RECIRCULATION","실외기 열 재순환 진단만","None","[""EQUIPMENT_TYPE""]","[""MEASUREMENT_BOUNDARY""]","[""RECIRCULATION_SAVING_RATE_UNAVAILABLE""]","none","{""grade_rule"":{""D"":""고정 절감률 없음; 현 데이터로 정량화 안 함""},""no_calculation_if"":[""no_measured_before_after""],""official_substitutions"":[],""measurement_required"":[""F_METERED_BEFORE_AFTER 요건을 충족하면 별도 계산 가능""],""execution"":""dispatch_by_formula_id; do_not_eval_csv"",""display"":""절감 가능성 발견 → 실측 권고"",""never_default_to_zero"":true}"
"F_DIAG_BASELOAD","BASELOAD","기저부하 진단만","None","[""EQUIPMENT_TYPE""]","[""MEASUREMENT_BOUNDARY""]","[""BASELOAD_SAVING_RATE_UNAVAILABLE""]","none","{""grade_rule"":{""D"":""고정 절감률 없음; 현 데이터로 정량화 안 함""},""no_calculation_if"":[""no_measured_before_after""],""official_substitutions"":[],""measurement_required"":[""F_METERED_BEFORE_AFTER 요건을 충족하면 별도 계산 가능""],""execution"":""dispatch_by_formula_id; do_not_eval_csv"",""display"":""절감 가능성 발견 → 실측 권고"",""never_default_to_zero"":true}"
