"input_id","input_name","unit","required","source","validation_rule","used_for"
"STANDBY_W","비필수 설비 대기 입력전력","W","conditional","resolver: MEASURED > OFFICIAL > MANUFACTURER > ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""must_be_point"":true,""exclude_reference_types"":[""regulatory_limit"",""regulatory_allowance""],""require_provenance"":true}","[""F_STANDBY_CUTOFF""]"
"CUTOFF_W","차단후 잔류 입력전력","W","conditional","resolver: MEASURED > OFFICIAL > MANUFACTURER > ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""must_be_point"":true,""exclude_reference_types"":[""regulatory_limit"",""regulatory_allowance""],""require_provenance"":true}","[""F_STANDBY_CUTOFF""]"
"PC_SAVABLE_HOURS","PC 한 대당 하루 절전 가능한 순시간","h/day","conditional","계측·로그 우선; 추정은 ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""maximum"":24,""null_policy"":""block_if_required"",""zero_is_valid"":true,""subtract_transition_delay"":true,""no_double_count"":true}","[""F_PC_SLEEP""]"
"MONITOR_SAVABLE_HOURS","모니터 한 대당 하루 절전 가능한 순시간","h/day","conditional","계측·로그 우선; 추정은 ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""maximum"":24,""null_policy"":""block_if_required"",""zero_is_valid"":true,""subtract_transition_delay"":true,""no_double_count"":true}","[""F_MONITOR_SLEEP""]"
"LIGHT_OFF_HOURS","하루 조명 소등 가능시간","h/day","conditional","계측·로그 우선; 추정은 ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""maximum"":24,""null_policy"":""block_if_required"",""zero_is_valid"":true,""subtract_transition_delay"":true,""no_double_count"":true}","[""F_LIGHT_OFF""]"
"EQUIPMENT_CHANGE_HOURS","설비 하루 상태변경 시간","h/day","conditional","계측·로그 우선; 추정은 ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""maximum"":24,""null_policy"":""block_if_required"",""zero_is_valid"":true,""subtract_transition_delay"":true,""no_double_count"":true}","[""F_EQUIPMENT_TIME""]"
"AC_CHANGE_HOURS","냉방 시스템 하루 변경시간","h/day","conditional","계측·로그 우선; 추정은 ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""maximum"":24,""null_policy"":""block_if_required"",""zero_is_valid"":true,""subtract_transition_delay"":true,""no_double_count"":true}","[""F_AC_MEASURED""]"
"CUTOFF_HOURS","하루 차단 가능시간","h/day","conditional","계측·로그 우선; 추정은 ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""maximum"":24,""null_policy"":""block_if_required"",""zero_is_valid"":true,""subtract_transition_delay"":true,""no_double_count"":true}","[""F_STANDBY_CUTOFF""]"
"AC_EQUIVALENT_FULL_LOAD_HOURS","하루 냉방 상당 전부하 절감시간","h/day","conditional","계측·로그 우선; 추정은 ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""maximum"":24,""null_policy"":""block_if_required"",""zero_is_valid"":true,""subtract_transition_delay"":true,""no_double_count"":true}","[""F_AC_RATED_SCENARIO""]"
"OCCURRENCE_DAYS","진단 현상 발생일수","day","conditional","사용자 달력","{""type"":""integer"",""minimum"":0,""lte"":""분석기간 실제 날짜 수""}","[""F_PC_SLEEP"",""F_MONITOR_SLEEP"",""F_EQUIPMENT_TIME"",""F_AC_MEASURED"",""F_AC_RATED_SCENARIO"",""F_STANDBY_CUTOFF""]"
"OPERATING_DAYS","대상 운영일수","day","conditional","사용자 달력","{""type"":""integer"",""minimum"":0,""lte"":""분석기간 실제 날짜 수""}","[""F_LIGHT_OFF""]"
"MONITOR_TARGET_COUNT","대상 모니터 수","count","conditional","사용자 재고","{""type"":""integer"",""minimum"":0}","[""F_MONITOR_SLEEP""]"
"LIGHT_COUNT","전체 등기구 수","count","conditional","사용자 재고","{""type"":""integer"",""minimum"":0}","[""F_LIGHT_OFF""]"
"LIGHT_TARGET_COUNT","소등 대상 등기구 수","count","conditional","사용자 재고","{""type"":""integer"",""minimum"":0,""lte_input"":""LIGHT_COUNT""}","[""F_LIGHT_OFF""]"
"EQUIPMENT_COUNT","독립 설비 수","count","conditional","사용자 재고","{""type"":""integer"",""minimum"":0}","[""F_EQUIPMENT_TIME""]"
"STANDBY_COUNT","차단 대상 설비 수","count","conditional","사용자 재고","{""type"":""integer"",""minimum"":0}","[""F_STANDBY_CUTOFF""]"
"AC_COUNT","독립 냉방시스템 수","count","conditional","사용자 재고","{""type"":""integer"",""minimum"":0,""not_a_power_estimator"":true}","[""F_AC_MEASURED""]"
"AC_INDOOR_COUNT","실내기 수","count","conditional","사용자 재고","{""type"":""integer"",""minimum"":0,""not_a_power_estimator"":true}","[""F_AC_MEASURED""]"
"AC_OUTDOOR_COUNT","실외기 수","count","conditional","사용자 재고","{""type"":""integer"",""minimum"":0,""not_a_power_estimator"":true}","[""F_AC_MEASURED""]"
"PC_MODEL","정확한 모델 식별자: PC_MODEL","","conditional","명판 / 제조사 공식 문서","{""type"":""string"",""nonempty"":true,""exact_match"":true,""ac_requires_indoor_outdoor_combination"":false}","[""F_PC_SLEEP""]"
"MONITOR_MODEL","정확한 모델 식별자: MONITOR_MODEL","","conditional","명판 / 제조사 공식 문서","{""type"":""string"",""nonempty"":true,""exact_match"":true,""ac_requires_indoor_outdoor_combination"":false}","[""F_MONITOR_SLEEP""]"
"LIGHT_MODEL","정확한 모델 식별자: LIGHT_MODEL","","conditional","명판 / 제조사 공식 문서","{""type"":""string"",""nonempty"":true,""exact_match"":true,""ac_requires_indoor_outdoor_combination"":false}","[""F_LIGHT_OFF""]"
"EQUIPMENT_MODEL","정확한 모델 식별자: EQUIPMENT_MODEL","","conditional","명판 / 제조사 공식 문서","{""type"":""string"",""nonempty"":true,""exact_match"":true,""ac_requires_indoor_outdoor_combination"":false}","[""F_EQUIPMENT_TIME"",""F_STANDBY_CUTOFF"",""F_METERED_BEFORE_AFTER""]"
"AC_MODEL","정확한 모델 식별자: AC_MODEL","","conditional","명판 / 제조사 공식 문서","{""type"":""string"",""nonempty"":true,""exact_match"":true,""ac_requires_indoor_outdoor_combination"":true}","[""F_AC_MEASURED"",""F_AC_RATED_SCENARIO""]"
"AC_MEASURED_W","기존 냉방 전체 시스템 실측 평균W","W","conditional","MEASURED","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""require_provenance"":true,""scope"":""전체 회로 합계; 대수 재곱 금지""}","[""F_AC_MEASURED""]"
"AC_TARGET_MEASURED_W","개선 냉방 전체 시스템 실측 평균W","W","conditional","MEASURED","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""require_provenance"":true,""scope"":""전체 회로 합계; 대수 재곱 금지""}","[""F_AC_MEASURED""]"
"AC_RATED_INPUT_W","조합별 냉방 정격 전기입력","W","conditional","OFFICIAL 모델시험 또는 MANUFACTURER","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""reject"":""cooling_capacity; PSU_capacity"",""require_provenance"":true}","[""F_AC_RATED_SCENARIO""]"
"AC_CSPF","모델별 냉방기간에너지소비효율","W/W","optional","OFFICIAL 모델시험","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""exclusiveMinimum"":0,""not_instantaneous_cop"":true}","[""F_AC_RATED_SCENARIO""]"
"AC_COOLING_CAPACITY_W","정격냉방능력 열출력","W_thermal","optional","OFFICIAL 또는 MANUFACTURER","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""never_use_as_electric_input"":true}","[""INPUT_VALIDATION_OR_RESOLVER""]"
"AC_SYSTEM_BOUNDARY","실내외기·보조전원 계측 및 모델 조합","JSON","conditional","사용자 회로도 / 명판","{""type"":""object"",""required_keys"":[""system_id"",""outdoor_models"",""indoor_models"",""includes_indoor_fans"",""includes_auxiliaries"",""meter_boundary""]}","[""F_AC_MEASURED"",""F_AC_RATED_SCENARIO""]"
"PC_EVENTS","PC별 유휴 이벤트","JSON","conditional","사용자 상태 로그 + 선택된 전력값","{""type"":""array"",""items_required"":[""asset_id"",""start_at"",""end_at"",""baseline_w"",""target_w"",""eligible_hours"",""provenance""],""no_overlapping_intervals"":true,""timezone"":""Asia/Seoul""}","[""F_PC_EVENTS""]"
"SHUTDOWN_ALLOWED","상시기능 차단 가능 확인","boolean","conditional","사용자 운영 확인","{""type"":""boolean"",""must_equal"":true}","[""F_STANDBY_CUTOFF""]"
"EQUIPMENT_TYPE","설비 유형","","conditional","사용자 재고","{""type"":""enum"",""values"":[""pc"",""monitor"",""lighting"",""air_conditioner"",""router"",""refrigerator"",""freezer"",""showcase"",""beverage_refrigerator"",""ice_maker"",""water_heater"",""microwave"",""anti_condensation_door_heater"",""defrost_heater"",""outdoor_unit_heat_recirculation"",""site_baseload"",""other""]}","[""F_EQUIPMENT_TIME"",""F_METERED_BEFORE_AFTER"",""F_DIAG_DOOR_HEATER"",""F_DIAG_DEFROST"",""F_DIAG_RECIRCULATION"",""F_DIAG_BASELOAD""]"
"BASELINE_NORMALIZED_KWH","동일조건으로 정규화한 기준 전력량","kWh","conditional","계측 또는 검증된 모형","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""same_period_required"":true,""negative_saving_policy"":""증가량으로 보존; 양의 절감으로 표시하지 않음""}","[""F_METERED_BEFORE_AFTER""]"
"POST_KWH","개선 후 적산전력량","kWh","conditional","계측 또는 검증된 모형","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""same_period_required"":true,""negative_saving_policy"":""증가량으로 보존; 양의 절감으로 표시하지 않음""}","[""F_METERED_BEFORE_AFTER""]"
"GROSS_SAVED_KWH","개선 조치의 총 절감전력량","kWh","conditional","계산 엔진 결과","{""type"":""number"",""finite"":true,""null_policy"":""block_if_required"",""zero_is_valid"":true,""same_period_required"":true,""negative_saving_policy"":""증가량으로 보존; 양의 절감으로 표시하지 않음""}","[""F_NET_ENERGY""]"
"EXTRA_KWH","전환·재가동에 따른 추가 전력량","kWh","conditional","계측 또는 검증된 모형","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""same_period_required"":true,""negative_saving_policy"":""증가량으로 보존; 양의 절감으로 표시하지 않음""}","[""F_NET_ENERGY""]"
"SAVED_KWH","중복 제거 후 순 절감전력량","kWh","conditional","계산 엔진 결과","{""type"":""number"",""finite"":true,""null_policy"":""block_if_required"",""zero_is_valid"":true,""same_period_required"":true,""negative_saving_policy"":""증가량으로 보존; 양의 절감으로 표시하지 않음""}","[""F_CARBON""]"
"MONTHLY_USAGE_KWH","기준 월 총사용량","kWh","conditional","계측 또는 검증된 모형","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""same_period_required"":true,""negative_saving_policy"":""증가량으로 보존; 양의 절감으로 표시하지 않음""}","[""F_BILL_DELTA""]"
"NORMALIZATION_METHOD","전후 비교 정규화 방법","JSON","conditional","계측 분석","{""type"":""object"",""required_keys"":[""method"",""covariates"",""service_equivalence"",""rebound_included"",""uncertainty""]}","[""F_METERED_BEFORE_AFTER""]"
"MEASUREMENT_PERIOD","시작·종료 시각 및 시간대: MEASUREMENT_PERIOD","JSON","conditional","계측 / 전기고지서","{""type"":""object"",""required_keys"":[""start"",""end_exclusive"",""timezone""],""timezone"":""Asia/Seoul"",""start_lt_end"":true}","[""F_METERED_BEFORE_AFTER""]"
"BILLING_PERIOD","시작·종료 시각 및 시간대: BILLING_PERIOD","JSON","conditional","계측 / 전기고지서","{""type"":""object"",""required_keys"":[""start"",""end_exclusive"",""timezone""],""timezone"":""Asia/Seoul"",""start_lt_end"":true}","[""F_ENERGY_CHARGE"",""F_VARIABLE_CHARGE"",""F_BILL_DELTA""]"
"MEASUREMENT_BOUNDARY","포함 설비·회로 경계","JSON","conditional","사용자 계측 기록","{""type"":""object"",""required_keys"":[""meter_id"",""asset_ids"",""includes_monitor"",""includes_auxiliaries""]}","[""F_METERED_BEFORE_AFTER"",""F_DIAG_DOOR_HEATER"",""F_DIAG_DEFROST"",""F_DIAG_RECIRCULATION"",""F_DIAG_BASELOAD""]"
"BASE_W_MIN","전력 범위 경계: BASE_W_MIN","W","conditional","검증된 모델 경계 또는 ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""paired_min_lte_max"":true}","[""F_POWER_INTERVAL""]"
"BASE_W_MAX","전력 범위 경계: BASE_W_MAX","W","conditional","검증된 모델 경계 또는 ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""paired_min_lte_max"":true}","[""F_POWER_INTERVAL""]"
"TARGET_W_MIN","전력 범위 경계: TARGET_W_MIN","W","conditional","검증된 모델 경계 또는 ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""paired_min_lte_max"":true}","[""F_POWER_INTERVAL""]"
"TARGET_W_MAX","전력 범위 경계: TARGET_W_MAX","W","conditional","검증된 모델 경계 또는 ASSUMPTION","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""paired_min_lte_max"":true}","[""F_POWER_INTERVAL""]"
"DEVICE_HOURS","대수와 전체 기간을 반영한 장치시간","device*h","conditional","상태 로그 / 집계","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true}","[""F_POWER_INTERVAL""]"
"BOUND_PROVENANCE","범위 출처·상한/하한 해석","JSON","conditional","출처 문서 및 명시적 가정","{""type"":""object"",""required_keys"":[""baseline_source"",""target_source"",""lower_bound_basis"",""upper_bound_basis"",""applicability""]}","[""F_POWER_INTERVAL""]"
"CONTRACT_TYPE","고지서 계약종별","","conditional","한국전력 고지서","{""type"":""enum"",""values"":[""GENERAL_A_I"",""GENERAL_A_II"",""GENERAL_B"",""UNKNOWN""],""unknown_policy"":""kWh_only_or_explicit_scenarios""}","[""F_ENERGY_CHARGE"",""F_VARIABLE_CHARGE""]"
"VOLTAGE_CLASS","고지서 공급전압 구분","","conditional","한국전력 고지서","{""type"":""enum"",""values"":[""LV"",""HV_A"",""HV_B"",""HV_C"",""UNKNOWN""],""validate_contract_combination"":true}","[""F_ENERGY_CHARGE"",""F_VARIABLE_CHARGE""]"
"TARIFF_OPTION","고지서 선택요금","","conditional","한국전력 고지서","{""type"":""enum"",""values"":[""NONE"",""I"",""II"",""III"",""IV"",""UNKNOWN""],""validate_effective_date"":true}","[""F_ENERGY_CHARGE"",""F_VARIABLE_CHARGE""]"
"CONTRACT_POWER_KW","계약전력","kW","conditional","한국전력 고지서","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true}","[""INPUT_VALIDATION_OR_RESOLVER""]"
"BILLING_DEMAND_KW","월 요금적용전력","kW","conditional","고지서 및 약관 기반 청구엔진","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true}","[""F_BILL_DELTA""]"
"DEMAND_HISTORY_KW","과거 최대수요전력 이력","JSON","optional","한전 계량기","{""type"":""array"",""required_keys_per_item"":[""timestamp"",""kw""],""not_equal_to_kwh"":true}","[""F_BILL_DELTA""]"
"POWER_FACTOR","역률","ratio","optional","한국전력 고지서","{""type"":""number"",""finite"":true,""minimum"":0,""maximum"":1,""null_policy"":""block_if_required"",""zero_is_valid"":true}","[""F_BILL_DELTA""]"
"DISCOUNTS","할인·할증 항목","JSON","optional","한국전력 고지서","{""type"":""array"",""empty_must_be_verified"":true}","[""F_BILL_DELTA""]"
"REGION","한전 시간대 구분 지역","","conditional","매장 주소","{""type"":""enum"",""values"":[""MAINLAND"",""JEJU""]}","[""F_ENERGY_CHARGE"",""F_VARIABLE_CHARGE""]"
"TARIFF_VERSION","요금표 버전과 적용기간","JSON","conditional","OFFICIAL","{""type"":""object"",""required_keys"":[""source_url"",""effective_from"",""effective_to_exclusive"",""verified_as_of"",""billing_rules_version""]}","[""F_ENERGY_CHARGE"",""F_VARIABLE_CHARGE"",""F_BILL_DELTA""]"
"SAVING_TARIFF_SEGMENTS","계약·계절·시간대별 절감 전력과 단가","JSON","conditional","계산 엔진 구간 배분 + OFFICIAL 요금표","{""type"":""array"",""items_required"":[""start"",""end_exclusive"",""saved_kwh"",""energy_rate"",""energy_rate_reference_id""],""additional_required_for_F_VARIABLE_CHARGE"":[""climate_rate"",""fuel_rate"",""climate_provenance"",""fuel_reference_id""],""must_sum_to"":""SAVED_KWH"",""no_overlap"":true}","[""F_ENERGY_CHARGE"",""F_VARIABLE_CHARGE""]"
"CLIMATE_RATE","해당 청구기간 기후환경요금단가","KRW/kWh","conditional","OFFICIAL 고지서/공고","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""require_period_source"":true}","[""INPUT_VALIDATION_OR_RESOLVER""]"
"FUEL_RATE","해당 청구기간 최종 연료비조정단가","KRW/kWh","conditional","OFFICIAL 고지서/공고","{""type"":""number"",""finite"":true,""allow_negative"":true,""require_period_source"":true}","[""INPUT_VALIDATION_OR_RESOLVER""]"
"MONTHLY_USAGE_PROFILE","전체 월 시간구간별 기준·개선 전력량","JSON","conditional","계측 + 개선 시나리오","{""type"":""array"",""items_required"":[""start"",""end_exclusive"",""baseline_kwh"",""post_kwh""],""cover_full_billing_period"":true,""no_negative_usage"":true}","[""F_BILL_DELTA""]"
"BILL_BEFORE_KRW","완전한 청구함수 결과: BILL_BEFORE_KRW","KRW","conditional","검증된 Python 청구 엔진 결과","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""integer_after_invoice_rounding"":true}","[""F_BILL_DELTA""]"
"BILL_AFTER_KRW","완전한 청구함수 결과: BILL_AFTER_KRW","KRW","conditional","검증된 Python 청구 엔진 결과","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""integer_after_invoice_rounding"":true}","[""F_BILL_DELTA""]"
"BILL_RECALCULATION_AUDIT","청구함수 계산내역 및 약관 검증","JSON","conditional","Python 청구 엔진","{""type"":""object"",""required_keys"":[""tariff_keys"",""basic_charge"",""energy_charge"",""climate_charge"",""fuel_charge"",""vat"",""fund"",""rounding"",""auto_min_branches"",""discounts"",""validation_version""]}","[""F_BILL_DELTA""]"
"SCENARIO_COSTS_KRW","시나리오별 계산된 비용 절감액","JSON","conditional","계산 엔진","{""type"":""array"",""items"":""finite_number"",""minItems"":1}","[""F_COST_RANGE""]"
"SCENARIO_DEFINITIONS","가능한 계약·요금 시나리오의 근거","JSON","conditional","고지서 후보 및 OFFICIAL 요금표","{""type"":""array"",""same_length_as"":""SCENARIO_COSTS_KRW"",""require_source"":true}","[""F_COST_RANGE""]"
"GRID_EF_KGCO2E_PER_KWH","선택된 구매전력 배출계수","kgCO2e/kWh","conditional","OFFICIAL 참조 DB","{""type"":""number"",""finite"":true,""minimum"":0,""null_policy"":""block_if_required"",""zero_is_valid"":true,""require_reference_id"":true,""scope"":""consumption/indirect""}","[""F_CARBON""]"
"GRID_EF_REFERENCE_ID","사용한 배출계수 ID","","conditional","Calculation Reference DB","{""type"":""string"",""foreign_key"":""reference_id"",""reject_historical_default"":true}","[""F_CARBON""]"
"CARBON_METHOD","탄소계수 사용 목적","","conditional","사용자 정책 + 제도 지침","{""type"":""enum"",""values"":[""prospective_location_based_estimate"",""historical_inventory"",""regulated_reporting""],""regulated_reporting_requires_method_confirmation"":true}","[""F_CARBON""]"
"VALUE_PROVENANCE","각 사용값의 공통 출처 메타데이터","JSON","required","모든 입력·선택값","{""type"":""object"",""required_keys"":[""evidence_class"",""value_semantics"",""source_ref"",""unit"",""state"",""asset_or_model_id"",""boundary"",""recorded_at""],""allowed_evidence_classes"":[""MEASURED"",""OFFICIAL"",""MANUFACTURER"",""ASSUMPTION""],""measured_additional"":[""instrument"",""sample_period"",""operating_conditions""],""assumption_additional"":[""rationale"",""min"",""max"",""owner""],""not_measured_if"":""사용자가 명판값을 전사했거나 기억으로 응답""}","[""INPUT_VALIDATION_OR_RESOLVER""]"
