rule_id,question_id,answer_code,waste_code,risk_points,reason,unknown_flag
SR_Q11_05,Q11,RARELY,HVAC_FILTER_MAINTENANCE,4,필터 청소를 거의 하지 않아 에어컨 과부하 및 에너지 누수 심각,false
SR_Q11_06,Q11,NO_AC,HVAC_FILTER_MAINTENANCE,0,냉방 설비 미사용,false
SR_Q11_07,Q11,UNKNOWN,HVAC_FILTER_MAINTENANCE,0,에어컨 필터 청소 주기 확인 필요,true
SR_Q12_01,Q12,OPEN_GOOD_VENTILATION,HVAC_OUTDOOR_HEAT_RECIRCULATION,0,실외기 주변 통풍 양호,false
SR_Q12_02,Q12,SOME_OBSTACLE,HVAC_OUTDOOR_HEAT_RECIRCULATION,2,실외기 근처 장애물로 열기 배출 효율 소폭 저하,false
SR_Q12_03,Q12,MULTI_UNIT_TIGHT_SPACE,HVAC_OUTDOOR_HEAT_RECIRCULATION,3,밀집된 실외기 설치로 상호 열간섭 및 효율 저하,false
SR_Q12_04,Q12,HOT_AIR_STAGNATES,HVAC_OUTDOOR_HEAT_RECIRCULATION,4,실외기 열기 체류로 인한 에어컨 냉방 효율 급감,false
SR_Q12_05,Q12,NEVER_CHECKED,HVAC_OUTDOOR_HEAT_RECIRCULATION,2,실외기 열기 배출 상태 미확인,false
SR_Q12_06,Q12,NO_AC,HVAC_OUTDOOR_HEAT_RECIRCULATION,0,냉방 설비 미사용,false
SR_Q12_07,Q12,UNKNOWN,HVAC_OUTDOOR_HEAT_RECIRCULATION,0,실외기 주변 통풍 및 열기 배출 확인 필요,true
SR_Q13_01,Q13,ZONE_FOCUSED,LOW_OCCUPANCY_ZONE_OPERATION,0,심야 시간대 구역 집약 운영으로 효율적 관리,false
SR_Q13_02,Q13,SOMETIMES_ZONE,LOW_OCCUPANCY_ZONE_OPERATION,1,일부 시간만 구역 운영,false
SR_Q13_03,Q13,FREE_SEATING_ALL,LOW_OCCUPANCY_ZONE_OPERATION,3,심야 전체 좌석 개방으로 불필요한 냉난방/조명 전력 소비,false
SR_Q13_04,Q13,ZONE_CONTROL_DIFFICULT,LOW_OCCUPANCY_ZONE_OPERATION,3,구역별 제어가 어려워 저이용시간 에너지 낭비 발생,false
SR_Q13_05,Q13,UNKNOWN,LOW_OCCUPANCY_ZONE_OPERATION,0,심야/새벽 구역 운영 여부 확인 필요,true
SR_Q14_01,Q14,ALL_EQUIPMENT_TRACKED,HIDDEN_BASELOAD_RISK,0,설비별 기저부하 전력 사용 구분 파악 중,false
SR_Q14_02,Q14,ROUGHLY_KNOWN_NOT_RECORDED,HIDDEN_BASELOAD_RISK,1,기저부하 대략 파악 중이나 정량 수치 미기록,false
SR_Q14_03,Q14,SOME_EQUIPMENT_ONLY,HIDDEN_BASELOAD_RISK,2,일부 설비만 확인하여 은닉 기저부하 누수 가능성 존재,false
SR_Q14_04,Q14,DONT_KNOW_ACTIVE_LOADS,HIDDEN_BASELOAD_RISK,4,상시 가동 설비를 모르고 있어 상시 전력 누수 위험 높음,false
SR_Q14_05,Q14,NEVER_CHECKED,HIDDEN_BASELOAD_RISK,4,최저 이용시간대 설비 점검 미실시,false
SR_Q15_01,Q15,TIME_OF_USE_REGULAR,ENERGY_MONITORING_ABSENT,0,시간대별 전력 사용량 정기적 모니터링 시행,false
SR_Q15_02,Q15,SOMETIMES_TIME_OF_USE,ENERGY_MONITORING_ABSENT,1,가끔 시간대별 전력 사용량 확인,false
SR_Q15_03,Q15,MONTHLY_KWH_ONLY,ENERGY_MONITORING_ABSENT,2,월별 총 사용량만 확인하여 시간대별 누수 모니터링 부재,false
SR_Q15_04,Q15,BILL_ONLY,ENERGY_MONITORING_ABSENT,3,전기 요금만 확인하여 실제 전력 사용 패턴 미파악,false
SR_Q15_05,Q15,NEVER_CHECKED,ENERGY_MONITORING_ABSENT,4,전력 사용량 확인을혀 안 함,false
SR_Q16_01,Q16,AUTO_CONTROLLED,REFRIG_DOOR_HEATER_ALWAYS_ON,0,유리문 히터가 온습도에 따라 자동 제어됨,false
SR_Q16_02,Q16,ALWAYS_ON_KNOWN,REFRIG_DOOR_HEATER_ALWAYS_ON,4,쇼케이스 결로방지 히터 상시 작동으로 연속 전력 소비,false
SR_Q16_03,Q16,EXISTS_CONTROL_UNKNOWN,REFRIG_DOOR_HEATER_ALWAYS_ON,2,히터 제어방식을 알지 못해 미인지 전력 낭비 가능성,false
SR_Q16_04,Q16,NO_HEATER,REFRIG_DOOR_HEATER_ALWAYS_ON,0,유리문 히터 기능 없음,false
SR_Q16_05,Q16,DONT_KNOW_IF_EXISTS,REFRIG_DOOR_HEATER_ALWAYS_ON,0,냉장 쇼케이스 히터 기능 유무 확인 필요,true
SR_Q16_06,Q16,NO_EQUIPMENT,REFRIG_DOOR_HEATER_ALWAYS_ON,0,냉장 쇼케이스 설비 없음,false
SR_Q17_01,Q17,DEMAND_BASED_AUTO,REFRIG_DEFROST_CONTROL,0,성에 상태에 따라 자동 제상 제어됨,false
SR_Q17_02,Q17,FIXED_SCHEDULE,REFRIG_DEFROST_CONTROL,1,고정 시간 간격 제상 작동,false
SR_Q17_03,Q17,SETTING_UNKNOWN,REFRIG_DEFROST_CONTROL,2,제상 설정 기준 불분명하여 과도한 제상 전력 소비 가능,false
SR_Q17_04,Q17,DONT_KNOW_IF_EXISTS,REFRIG_DEFROST_CONTROL,0,냉동/냉장 쇼케이스 제상 기능 확인 필요,true
SR_Q17_05,Q17,NO_EQUIPMENT,REFRIG_DEFROST_CONTROL,0,해당 설비 없음,false
